City Name,Country,Region,Latitude,Longitude,Land Cover Dates T1,Land Cover Dates T2,Land Cover Dates T3,Urban Extent Population T1,Urban Extent Population T2,Urban Extent Population T3,Built-up Area Total  (ha) T1,Built-up Area Total  (ha) T2,Built-up Area Total  (ha) T3,Urban Built-up Area (ha) T1,Urban Built-up Area (ha) T2,Urban Built-up Area (ha) T3,Surburban Built-up Area (ha) T1,Surburban Built-up Area (ha) T2,Surburban Built-up Area (ha) T3,Rural Built-up Area  (ha) T1,Rural Built-up Area  (ha) T2,Rural Built-up Area  (ha) T3,Urbanized Open Space  (ha) T1,Urbanized Open Space  (ha) T2,Urbanized Open Space  (ha) T3,Urban Extent (ha) T1,Urban Extent (ha) T2,Urban Extent (ha) T3
Bangkok,Thailand,Southeast Asia,13.778,100.538,3/1/88,1/1/02,1/1/15,6048386,9223566,14011131,50746,90085,172912,28991,60619,122660,20317,27470,47004,1438,1995,3248,46179,66933,121550,96925,157018,294462
"Beijing, Beijing",China,East Asia and the Pacific,39.92,116.37,12/1/88,7/1/99,10/1/13,6037392,9869844,20669397,66759,114226,265434,54320,86180,175362,11580,26006,83883,859,2041,6189,31973,61299,190250,98733,175525,455684
Beira,Mozambique,Sub-Saharan Africa,-19.831,34.86,3/1/91,5/1/01,7/1/13,131884,143908,382575,1038,1596,6208,387,1152,3225,631,421,2818,20,23,165,1169,1035,5944,2207,2631,12153
Belgaum,India,South and Central Asia,15.85,74.506,11/1/89,11/1/00,4/1/14,229412,358119,636865,335,762,2779,181,324,1563,137,409,1146,18,29,70,322,807,2278,657,1570,5057
Belgrade,Serbia,Europe and Japan,44.798,20.447,8/1/88,7/1/00,3/1/14,801013,876835,963946,8620,10198,12565,7078,8303,9819,1443,1786,2573,99,110,173,3906,4492,6522,12525,14691,19087
Belo Horizonte,Brazil,Latin America and the Caribbean,-19.904,-44.005,6/1/89,6/1/00,5/1/13,2709529,3479598,4038047,33855,43054,48701,28642,37953,43236,4802,4756,5063,411,345,403,15173,14798,15850,49027,57852,64552
Berezniki,Russia,Europe and Japan,59.415,56.795,7/1/89,5/1/00,7/1/10,137284,127504,112760,2884,3912,4276,1713,2990,3335,1096,865,881,76,57,60,2459,2319,2405,5343,6231,6681
Berlin,Germany,Europe and Japan,52.502,13.453,8/1/90,8/1/00,12/1/13,3248604,3510570,3860243,24707,44413,68743,16462,32592,53160,7632,11121,14526,613,701,1057,20179,29724,40283,44886,74137,109026
"Bicheng, Chongqing",China,East Asia and the Pacific,29.595,106.231,9/1/88,7/1/00,6/1/13,84136,119872,238159,157,510,5019,85,381,3512,62,115,1377,10,14,130,137,257,2798,295,767,7816
Bogota,Colombia,Latin America and the Caribbean,4.644,-74.129,12/1/89,1/1/01,1/1/10,4438705,6362428,7801693,24582,28501,31895,22111,25837,29663,2298,2501,2111,173,163,121,7541,8134,7828,32123,36635,39723
